Name,Description,Price,Quantity,Stock,Published,Categories,Default Category
"Pet Leash","Durable pet leash",250,"piece",110,true,"Pet Care; Pet Accessories","Pet Care"
"Pet Bowl","Stainless steel pet bowl",150,"set",130,true,"Pet Care; Pet Accessories","Pet Care"

"Vitamin C","Vitamin C tablets",250,"60 tablets",120,true,"Pharma & Wellness; Vitamins & Supplements","Pharma & Wellness"
"Vitamin D","Vitamin D capsules",300,"60 capsules",100,true,"Pharma & Wellness; Vitamins & Supplements","Pharma & Wellness"
"Multivitamin","Complete multivitamin",400,"60 tablets",90,true,"Pharma & Wellness; Vitamins & Supplements","Pharma & Wellness"
"Calcium","Calcium tablets",350,"60 tablets",110,true,"Pharma & Wellness; Vitamins & Supplements","Pharma & Wellness"
"Omega 3","Fish oil capsules",450,"60 capsules",80,true,"Pharma & Wellness; Vitamins & Supplements","Pharma & Wellness"
"Paracetamol","Pain relief tablets",50,"20 tablets",200,true,"Pharma & Wellness; Pain Relief","Pharma & Wellness"
"Ibuprofen","Anti-inflammatory tablets",60,"20 tablets",180,true,"Pharma & Wellness; Pain Relief","Pharma & Wellness"
"Aspirin","Pain relief tablets",40,"20 tablets",220,true,"Pharma & Wellness; Pain Relief","Pharma & Wellness"
"Volini","Pain relief spray",120,"100 ml",150,true,"Pharma & Wellness; Pain Relief","Pharma & Wellness"
"Moov","Pain relief cream",100,"50 g",170,true,"Pharma & Wellness; Pain Relief","Pharma & Wellness"
"Band-Aid","Adhesive bandages",80,"20 pcs",250,true,"Pharma & Wellness; First Aid","Pharma & Wellness"
"Antiseptic","Antiseptic solution",90,"100 ml",200,true,"Pharma & Wellness; First Aid","Pharma & Wellness"
"First Aid Kit","Complete first aid kit",350,"kit",100,true,"Pharma & Wellness; First Aid","Pharma & Wellness"
"Gauze","Sterile gauze",60,"10 pcs",180,true,"Pharma & Wellness; First Aid","Pharma & Wellness"
"Medical Tape","Surgical tape",40,"1 roll",220,true,"Pharma & Wellness; First Aid","Pharma & Wellness"

"Wheat Atta","Whole wheat flour",50,"5 kg",200,true,"Staples; Atta & Flours","Staples"
"Rice","Premium basmati rice",120,"5 kg",180,true,"Staples; Rice & Other Grains","Staples"
"Sugar","Refined sugar",45,"1 kg",250,true,"Staples; Salt & Sugar","Staples"
"Salt","Iodized salt",20,"1 kg",300,true,"Staples; Salt & Sugar","Staples"
"Dal","Mixed pulses",100,"1 kg",220,true,"Staples; Atta & Flours","Staples"
"Maida","Refined flour",40,"1 kg",240,true,"Staples; Atta & Flours","Staples"
"Ragi Flour","Nutritious ragi flour",80,"1 kg",160,true,"Staples; Atta & Flours","Staples"
"Bajra","Pearl millet",70,"1 kg",180,true,"Staples; Rice & Other Grains","Staples"
"Jowar","Sorghum grain",75,"1 kg",170,true,"Staples; Rice & Other Grains","Staples"
"Quinoa","Premium quinoa",200,"500 g",120,true,"Staples; Rice & Other Grains","Staples"
"Rock Salt","Natural rock salt",30,"500 g",190,true,"Staples; Salt & Sugar","Staples"
"Brown Sugar","Natural brown sugar",60,"500 g",170,true,"Staples; Salt & Sugar","Staples"
"Jaggery","Organic jaggery",80,"500 g",150,true,"Staples; Salt & Sugar","Staples"
"Sea Salt","Premium sea salt",40,"500 g",200,true,"Staples; Salt & Sugar","Staples"
"Stevia","Natural sweetener",150,"100 g",130,true,"Staples; Salt & Sugar","Staples"

"Chocolate Bar","Premium chocolate bar",100,"100 g",150,true,"Sweet Tooth; Chocolates & Candies","Sweet Tooth"
"Gummy Bears","Fruit flavored gummies",80,"200 g",180,true,"Sweet Tooth; Chocolates & Candies","Sweet Tooth"
"Hard Candies","Assorted hard candies",60,"200 g",200,true,"Sweet Tooth; Chocolates & Candies","Sweet Tooth"
"Chocolate Truffles","Luxury chocolate truffles",250,"200 g",100,true,"Sweet Tooth; Chocolates & Candies","Sweet Tooth"
"Caramel","Soft caramel candies",90,"200 g",170,true,"Sweet Tooth; Chocolates & Candies","Sweet Tooth"
"Vanilla Ice Cream","Classic vanilla ice cream",200,"1 L",120,true,"Sweet Tooth; Ice Cream","Sweet Tooth"
"Chocolate Ice Cream","Rich chocolate ice cream",220,"1 L",110,true,"Sweet Tooth; Ice Cream","Sweet Tooth"
"Strawberry Ice Cream","Fresh strawberry ice cream",240,"1 L",100,true,"Sweet Tooth; Ice Cream","Sweet Tooth"
"Butterscotch Ice Cream","Creamy butterscotch ice cream",230,"1 L",105,true,"Sweet Tooth; Ice Cream","Sweet Tooth"
"Mint Ice Cream","Refreshing mint ice cream",210,"1 L",115,true,"Sweet Tooth; Ice Cream","Sweet Tooth"
"Cake Mix","Vanilla cake mix",150,"500 g",140,true,"Sweet Tooth; Dessert Mixes","Sweet Tooth"
"Brownie Mix","Chocolate brownie mix",180,"500 g",130,true,"Sweet Tooth; Dessert Mixes","Sweet Tooth"
"Pudding Mix","Instant pudding mix",120,"200 g",160,true,"Sweet Tooth; Dessert Mixes","Sweet Tooth"
"Cookie Mix","Chocolate chip cookie mix",170,"500 g",125,true,"Sweet Tooth; Dessert Mixes","Sweet Tooth"
"Pancake Mix","Fluffy pancake mix",130,"500 g",145,true,"Sweet Tooth; Dessert Mixes","Sweet Tooth"

"Green Tea","Organic green tea",200,"100 bags",150,true,"Tea, Coffee & Health Drinks; Tea","Tea, Coffee & Health Drinks"
"Black Tea","Premium black tea",150,"100 bags",180,true,"Tea, Coffee & Health Drinks; Tea","Tea, Coffee & Health Drinks"
"Herbal Tea","Natural herbal tea",250,"50 bags",120,true,"Tea, Coffee & Health Drinks; Tea","Tea, Coffee & Health Drinks"
"Masala Chai","Spiced masala tea",180,"100 bags",160,true,"Tea, Coffee & Health Drinks; Tea","Tea, Coffee & Health Drinks"
"Lemon Tea","Refreshing lemon tea",170,"50 bags",170,true,"Tea, Coffee & Health Drinks; Tea","Tea, Coffee & Health Drinks"
"Coffee Beans","Premium coffee beans",300,"250 g",100,true,"Tea, Coffee & Health Drinks; Coffee","Tea, Coffee & Health Drinks"
"Instant Coffee","Classic instant coffee",250,"200 g",150,true,"Tea, Coffee & Health Drinks; Coffee","Tea, Coffee & Health Drinks"
"Coffee Powder","Ground coffee powder",280,"250 g",120,true,Tea, Coffee & Health Drinks; Coffee, Coffee & Health Drinks; Coffee","Tea, Coffee & Health Drinks"
"Cappuccino Mix","Instant cappuccino mix",200,"200 g",140,true,"Tea, Coffee & Health Drinks; Coffee","Tea, Coffee & Health Drinks"
"Mocha Mix","Chocolate coffee mix",220,"200 g",130,true,"Tea, Coffee & Health Drinks; Coffee","Tea, Coffee & Health Drinks"
"Protein Shake","Whey protein shake",450,"1 kg",90,true,"Tea, Coffee & Health Drinks; Health Drinks","Tea, Coffee & Health Drinks"
"Energy Drink","Natural energy drink",120,"250 ml",180,true,"Tea, Coffee & Health Drinks; Health Drinks","Tea, Coffee & Health Drinks"
"Herbal Drink","Ayurvedic herbal drink",150,"200 g",160,true,"Tea, Coffee & Health Drinks; Health Drinks","Tea, Coffee & Health Drinks"
"Green Coffee","Natural green coffee",280,"200 g",110,true,"Tea, Coffee & Health Drinks; Health Drinks","Tea, Coffee & Health Drinks"
"Detox Drink","Cleansing detox drink",200,"250 g",140,true,"Tea, Coffee & Health Drinks; Health Drinks","Tea, Coffee & Health Drinks" 
